Accession	accession	version	submissionId	isRevocation	submitter	groupName	groupId	submittedAtTimestamp	submittedDate	releasedAtTimestamp	releasedDate	dataUseTerms	dataUseTermsRestrictedUntil	dataUseTermsUrl	versionStatus	versionComment	ampliconPcrPrimerScheme	ampliconSize	anatomicalMaterial	anatomicalPart	authorAffiliations	authors	bioprojectAccession	biosampleAccession	bodyProduct	breadthOfCoverage	cellLine	collectionDevice	collectionMethod	completeness	consensusSequenceSoftwareName	consensusSequenceSoftwareVersion	cultureId	dehostingMethod	depthOfCoverage	diagnosticMeasurementMethod	diagnosticMeasurementUnit	diagnosticMeasurementValue	diagnosticTargetGeneName	diagnosticTargetPresence	displayName	environmentalMaterial	environmentalSite	experimentalSpecimenRoleType	exposureDetails	exposureEvent	exposureSetting	foodProduct	foodProductProperties	frameShifts	geoLocAdmin1	geoLocAdmin2	geoLocCity	Country	geoLocLatitude	geoLocLongitude	geoLocSite	hostAge	hostAgeBin	hostDisease	hostGender	hostHealthOutcome	hostHealthState	Host	hostNameScientific	hostOriginCountry	hostRole	hostTaxonId	hostVaccinationStatus	insdcAccessionBase	insdcAccessionFull	insdcVersion	isLabHost	length	lineage	ncbiReleaseDate	ncbiSourceDb	ncbiSubmitterCountry	date	ncbiVirusName	ncbiVirusTaxId	passageMethod	passageNumber	presamplingActivity	previousInfectionDisease	previousInfectionOrganism	purposeOfSampling	purposeOfSequencing	qualityControlDetails	qualityControlDetermination	qualityControlIssues	qualityControlMethodName	qualityControlMethodVersion	rawSequenceDataProcessingMethod	referenceGenomeAccession	sampleCollectionDate	sampleReceivedDate	sampleType	sequencedByContactEmail	sequencedByContactName	sequencedByOrganization	sequencingAssayType	sequencingDate	sequencingInstrument	sequencingProtocol	signsAndSymptoms	specimenCollectorSampleId	specimenProcessing	specimenProcessingDetails	sraRunAccession	stopCodons	totalAmbiguousNucs	totalDeletedNucs	totalFrameShifts	totalInsertedNucs	totalSnps	totalStopCodons	totalUnknownNucs	travelHistory
PP_00009NE.3	PP_00009NE	3	JF730040.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9596518											PP_00009NE.3																								Mus musculus			10090		JF730040	JF730040.1	1	True	10584	1A	2011-04-19	GenBank		2011-04-19	West Nile virus	11082																										WNV-1/Mus/BID-V4982/serum					0	0	0	0	22	0	0	
PP_00009PC.3	PP_00009PC	3	JF730041.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9517635											PP_00009PC.3																								Mus musculus			10090		JF730041	JF730041.1	1	True	10497	1A	2011-05-12	GenBank		2011-05-12	West Nile virus	11082																										WNV-1/Mus/BID-V4729/spleen					0	0	0	0	27	0	0	
PP_00009WY.3	PP_00009WY	3	JF899530.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9622813											PP_00009WY.3																								Mus musculus			10090		JF899530	JF899530.1	1	True	10613	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V4923/spleen					0	0	0	0	23	0	0	
PP_0000A0Q.3	PP_0000A0Q	3	JF899533.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9630973											PP_0000A0Q.3																								Mus musculus			10090		JF899533	JF899533.1	1	True	10631	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V4996/brain					0	0	0	9	23	0	0	
PP_0000A4G.3	PP_0000A4G	3	JF899537.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9630973											PP_0000A4G.3																								Mus musculus			10090		JF899537	JF899537.1	1	True	10622	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V5146/brain					0	0	0	0	23	0	0	
PP_0000CB0.3	PP_0000CB0	3	JN183893.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221798	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Young, D.; Ciota, A.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Nusbaum, C.; Kramer, L.; Birren, B.	PRJNA31237							0.96200925											PP_0000CB0.3																								Gallus gallus			9031		JN183893	JN183893.1	1		10610	1A	2011-10-11	GenBank		2011-10-11	West Nile virus	11082																										WNV-1/Gallus/BID-V4954/kidney					0	0	0	0	23	0	0	
PP_0000CCY.3	PP_0000CCY	3	JN183894.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221798	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Young, D.; Ciota, A.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Nusbaum, C.; Kramer, L.; Birren, B.	PRJNA31237							0.9622813											PP_0000CCY.3																								Gallus gallus			9031		JN183894	JN183894.1	1		10613	1A	2011-10-11	GenBank		2011-10-11	West Nile virus	11082																										WNV-1/Gallus/BID-V4955/kidney					0	0	0	0	22	0	0	
PP_0000CFS.3	PP_0000CFS	3	JN183896.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221798	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Deardorff, E. R.; Ebel, G. D.; Nusbaum, C.; Ebel, G.; Birren, B.	PRJNA31237							0.9630973											PP_0000CFS.3																								Culex			7174		JN183896	JN183896.1	1		10622	1A	2011-10-11	GenBank		2011-10-11	West Nile virus	11082																										WNV-1/Culex/BID-V5776/midgut					0	0	0	0	22	0	0	
PP_0000CGQ.3	PP_0000CGQ	3	JN183897.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221798	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Deardorff, E. R.; Ebel, G. D.; Nusbaum, C.; Ebel, G.; Birren, B.	PRJNA31237							0.9630973											PP_0000CGQ.3																								Culex			7174		JN183897	JN183897.1	1		10622	1A	2011-10-11	GenBank		2011-10-11	West Nile virus	11082																										WNV-1/Culex/BID-V5808/midgut					0	0	0	0	23	0	0	
PP_0000E3E.3	PP_0000E3E	3	JN819307.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Ebel, G.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9596518											PP_0000E3E.3																													JN819307	JN819307.1	1		10584	1A	2012-02-08	GenBank		2012-02-08	West Nile virus	11082																										WNV-1/BID-V5032					0	0	0	0	26	0	0	
