,Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,date,BioSample,GenBank_Title,Division
0,NC_009942.1,West Nile virus,?,"Faggioni,G., Pomponi,A., De Santis,R., Masuelli,L., Ciammaruconi,A., Monaco,F., Di Gennaro,A., Marzocchella,L., Sambri,V., Lelli,R., Rezza,G., Bei,R., Lista,F., Borisevich,V., Seregin,A., Nistler,R., Mutabazi,D., Yamshchikov,V.","National Center for Biotechnology Information, NIH",USA,2007-10-19T00:00:00Z,385-99,Orthoflavivirus nilense,11029,complete,USA,USA,?,?,?,?,?,"West Nile virus lineage 1, complete genome",?
1,NC_001563.2,West Nile virus,?,"Melian,E.B., Hinzman,E., Nagasaki,T., Firth,A.E., Wills,N.M., Nouwens,A.S., Blitvich,B.J., Leung,J., Funk,A., Atkins,J.F., Hall,R., Khromykh,A.A., Yamshchikov,V.F., Wengler,G., Perelygin,A.A., Brinton,M.A., Compans,R.W., Castle,E.","National Center for Biotechnology Information, NIH",USA,1993-08-03T00:00:00Z,?,Orthoflavivirus nilense,10962,complete,?,?,?,?,?,?,?,"West Nile virus lineage 2, complete genome",?
2,OR091151.1,West Nile virus,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,TI-SUPSI-C28,Orthoflavivirus nilense,10790,partial,Switzerland,Switzerland,?,Culex pipiens,?,2022-08,?,"West Nile virus isolate TI-SUPSI-C28, partial genome",?
3,OR091152.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_C37/2022,Orthoflavivirus nilense,10960,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-08,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_C37/2022, partial genome",Ticino
4,OR091153.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_C65/2022,Orthoflavivirus nilense,10790,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-09,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_C65/2022, partial genome",Ticino
5,OR091154.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_C70/2022,Orthoflavivirus nilense,10858,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-09,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_C70/2022, partial genome",Ticino
6,OR091155.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_M63/2022,Orthoflavivirus nilense,10960,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-09,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_M63/2022, partial genome",Ticino
7,OR091156.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_M158/2022,Orthoflavivirus nilense,10960,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-08,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_M158/2022, partial genome",Ticino
8,OR091157.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_M202/2022,Orthoflavivirus nilense,10960,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-10,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_M202/2022, partial genome",Ticino
9,OR091158.1,West Nile virus 2,?,"Cazzin,S., Flacio,E., Liechti,N., Jandrasits,D., Beuret,C., Engler,O., Guidi,V.","Spiez Laboratory, Biology Department",Switzerland,2023-07-17T00:00:00Z,WNV/CHE/TI_SUPSI_M224/2022,Orthoflavivirus nilense,10960,partial,Switzerland: Ticino,Switzerland,?,Culex pipiens,?,2022-09,?,"West Nile virus 2 isolate WNV/CHE/TI_SUPSI_M224/2022, partial genome",Ticino
10,OQ204314.1,West Nile virus,?,"Mencattelli,G., Monaco,F., Curini,V., Teodori,L., Polci,A., Savini,G.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-13T00:00:00Z,?,Orthoflavivirus nilense,10939,partial,Italy: Tuscany,Italy,?,Culex pipiens,?,2022-10-07,?,"West Nile virus strain 2022.TE.51622.1.2, partial genome",Tuscany
11,OQ204315.1,West Nile virus,?,"Mencattelli,G., Monaco,F., Curini,V., Teodori,L., Polci,A., Savini,G.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-13T00:00:00Z,?,Orthoflavivirus nilense,10932,partial,Italy: Sicily,Italy,?,Equus caballus,?,2022-11-02,?,"West Nile virus strain 2022.TE.51622.1.4, partial genome",Sicily
12,OQ214888.1,West Nile virus,?,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",?,2023-06-13T00:00:00Z,Kalmikia 499/22,Orthoflavivirus nilense,10901,complete,Russia: Kalmikia,Russia,?,Culex pipiens,?,2022,?,"West Nile virus isolate Kalmikia 499/22, complete genome",Kalmikia
13,OQ214889.1,West Nile virus,?,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",?,2023-06-13T00:00:00Z,Stavropol 1451/22,Orthoflavivirus nilense,10980,complete,Russia: Stavropol,Russia,?,Culex pipiens,?,2022,?,"West Nile virus isolate Stavropol 1451/22, complete genome",Stavropol
14,OQ214890.1,West Nile virus,?,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",?,2023-06-13T00:00:00Z,Volgograd 1031/22,Orthoflavivirus nilense,10980,complete,Russia: Volgograd,Russia,?,Culex pipiens,?,2022,?,"West Nile virus isolate Volgograd 1031/22, complete genome",Volgograd
15,OQ214891.1,West Nile virus,?,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Gerasimova,A.D., Molchanova,E.V., Shpak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",?,2023-06-13T00:00:00Z,Volgograd 912/22,Orthoflavivirus nilense,10980,complete,Russia: Volgograd,Russia,?,Culex pipiens,?,2022,?,"West Nile virus isolate Volgograd 912/22, complete genome",Volgograd
16,OP850021.1,West Nile virus,?,"Savini,G., Monaco,F., Mencattelli,G., Curini,V., Teodori,L., Polci,A.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-06-05T00:00:00Z,?,Orthoflavivirus nilense,10963,partial,Italy:Lombardy,Italy,?,Corvus cornix,?,2022-09-12,?,"West Nile virus strain 2022.TE.49076.2.10 polyprotein gene, complete cds",Lombardy
