Accession	Unnamed: 0	Organism_Name	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Isolation_Source	date	BioSample	GenBank_Title	Division
LY683288.1	606	West Nile virus	?	Jones,F.R., Balint,J., Rice,A., Latchman,Y., Gabitzsch,E.	?	?	2019-12-04T00:00:00Z	?	Orthoflavivirus nilense	11062	partial	?	?	?	?	?	?	?	KR 1020190039140-A/10: COMPOSITIONS AND METHODS FOR FLAVIVIRUS VACCINATION	?
KR348990.1	1956	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	KERN_464_2007	Orthoflavivirus nilense	10135	partial	?	?	?	Culex quinquefasciatus	?	2007-09-13	?	West Nile virus isolate KERN_464_2007 polyprotein gene, partial cds	?
JN819312.1	2650	West Nile virus	?	Henn,M.R., Newman,R.M., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Ebel,G., Nusbaum,C., Birren,B.	Broad Institute of MIT and Harvard	USA	2012-02-08T00:00:00Z	WNV-1/BID-V5039	Orthoflavivirus nilense	10584	complete	?	?	?	Culicidae	?	?	?	West Nile virus isolate WNV-1/BID-V5039, complete genome	Medellin
KR348978.1	1944	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	KERN_136_2008	Orthoflavivirus nilense	10135	partial	?	?	?	Culex quinquefasciatus	?	2008-06-27	?	West Nile virus isolate KERN_136_2008 polyprotein gene, partial cds	?
AJ965628.2	3167	West Nile virus strain PT5.2	?	Esteves,A., Almeida,A.P., Galao,R.P., Parreira,R., Piedade,J., Rodrigues,J.C., Sousa,C.A., Novo,M.T., Severino,P., Freitas,F.	Parreira R., Virologia, Instituto de Higiene e Medicina Tropical, Rua da Junqueira 96, 1349-008 lisboa	Portugal	2006-05-12T00:00:00Z	?	Orthoflavivirus nilense	10977	complete	?	?	?	?	?	?	?	West Nile virus strain PT5.2 polyprotein, genomic RNA, complete genome	Hall County, Texas
KR349011.1	1977	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	SAYO_571_2005	Orthoflavivirus nilense	10263	partial	?	?	?	Culex pipiens	?	2005-07-28	?	West Nile virus isolate SAYO_571_2005 polyprotein gene, partial cds	?
MT840692.1	77	West Nile virus	?	Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.	University of Texas Medical Branch, Pathology	USA	2023-03-26T00:00:00Z	TWN3080	Orthoflavivirus nilense	11029	partial	?	?	?	?	?	?	?	West Nile virus isolate TWN3080 polyprotein gene, complete cds	?
HQ671692.1	2804	West Nile virus	?	Henn,M.R., Newman,R.M., Young,D., Ciota,A., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Nusbaum,C., Kramer,L., Birren,B.	Broad Institute of MIT and Harvard	USA	2011-03-12T00:00:00Z	WNV-1/Gallus/BID-V4959/kidney	Orthoflavivirus nilense	10624	complete	?	?	?	Gallus gallus	kidney, abdominal cavity	?	?	West Nile virus isolate WNV-1/Gallus/BID-V4959/kidney, complete genome	?
KR348934.1	1900	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	COAV_1573_2007	Orthoflavivirus nilense	10299	partial	?	?	?	Culex tarsalis	?	2007-09-18	?	West Nile virus isolate COAV_1573_2007 polyprotein gene, partial cds	?
KR348937.1	1903	West Nile virus	?	Duggal,N.K., Reisen,W.K., Fang,Y., Newman,R.M., Yang,X., Ebel,G.D., Brault,A.C., Brault,A.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	USA	2015-08-08T00:00:00Z	COAV_1788_2010	Orthoflavivirus nilense	10299	partial	?	?	?	Culex tarsalis	?	2010-08-06	?	West Nile virus isolate COAV_1788_2010 polyprotein gene, partial cds	?
