Accession	accession	version	submissionId	isRevocation	submitter	groupName	groupId	submittedAtTimestamp	submittedDate	releasedAtTimestamp	releasedDate	dataUseTerms	dataUseTermsRestrictedUntil	dataUseTermsUrl	versionStatus	versionComment	ampliconPcrPrimerScheme	ampliconSize	anatomicalMaterial	anatomicalPart	authorAffiliations	authors	bioprojectAccession	biosampleAccession	bodyProduct	breadthOfCoverage	cellLine	collectionDevice	collectionMethod	completeness	consensusSequenceSoftwareName	consensusSequenceSoftwareVersion	cultureId	dehostingMethod	depthOfCoverage	diagnosticMeasurementMethod	diagnosticMeasurementUnit	diagnosticMeasurementValue	diagnosticTargetGeneName	diagnosticTargetPresence	displayName	environmentalMaterial	environmentalSite	experimentalSpecimenRoleType	exposureDetails	exposureEvent	exposureSetting	foodProduct	foodProductProperties	frameShifts	geoLocAdmin1	geoLocAdmin2	geoLocCity	Country	geoLocLatitude	geoLocLongitude	geoLocSite	hostAge	hostAgeBin	hostDisease	hostGender	hostHealthOutcome	hostHealthState	Host	hostNameScientific	hostOriginCountry	hostRole	hostTaxonId	hostVaccinationStatus	insdcAccessionBase	insdcAccessionFull	insdcVersion	isLabHost	length	lineage	ncbiReleaseDate	ncbiSourceDb	ncbiSubmitterCountry	date	ncbiVirusName	ncbiVirusTaxId	passageMethod	passageNumber	presamplingActivity	previousInfectionDisease	previousInfectionOrganism	purposeOfSampling	purposeOfSequencing	qualityControlDetails	qualityControlDetermination	qualityControlIssues	qualityControlMethodName	qualityControlMethodVersion	rawSequenceDataProcessingMethod	referenceGenomeAccession	sampleCollectionDate	sampleReceivedDate	sampleType	sequencedByContactEmail	sequencedByContactName	sequencedByOrganization	sequencingAssayType	sequencingDate	sequencingInstrument	sequencingProtocol	signsAndSymptoms	specimenCollectorSampleId	specimenProcessing	specimenProcessingDetails	sraRunAccession	stopCodons	totalAmbiguousNucs	totalDeletedNucs	totalFrameShifts	totalInsertedNucs	totalSnps	totalStopCodons	totalUnknownNucs	travelHistory
PP_000081Q.3	PP_000081Q	3	JF357958.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9627346											PP_000081Q.3																								Mus musculus			10090		JF357958	JF357958.1	1	True	10617	1A	2011-03-12	GenBank		2011-03-12	West Nile virus	11082																										WNV-1/Mus/BID-V4997/brain					0	1	0	0	24	0	0	
PP_000082N.3	PP_000082N	3	JF357959.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9562064											PP_000082N.3																								Mus musculus			10090		JF357959	JF357959.1	1	True	10546	1A	2011-03-12	GenBank		2011-03-12	West Nile virus	11082																										WNV-1/Mus/BID-V4999/brain					0	0	0	0	26	0	0	
PP_000083L.3	PP_000083L	3	JF357960.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Young, D.; Ciota, A.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Nusbaum, C.; Kramer, L.; Birren, B.	PRJNA31237							0.9630973											PP_000083L.3																								Gallus gallus			9031		JF357960	JF357960.1	1		10621	1A	2011-03-12	GenBank		2011-03-12	West Nile virus	11082																										WNV-1/Gallus/BID-V5109/skin					0	1	0	0	19	0	0	
PP_00009NE.3	PP_00009NE	3	JF730040.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9596518											PP_00009NE.3																								Mus musculus			10090		JF730040	JF730040.1	1	True	10584	1A	2011-04-19	GenBank		2011-04-19	West Nile virus	11082																										WNV-1/Mus/BID-V4982/serum					0	0	0	0	22	0	0	
PP_00009PC.3	PP_00009PC	3	JF730041.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9517635											PP_00009PC.3																								Mus musculus			10090		JF730041	JF730041.1	1	True	10497	1A	2011-05-12	GenBank		2011-05-12	West Nile virus	11082																										WNV-1/Mus/BID-V4729/spleen					0	0	0	0	27	0	0	
PP_00009S6.3	PP_00009S6	3	JF784158.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9630973											PP_00009S6.3																								Mus musculus			10090		JF784158	JF784158.1	1	True	10621	1A	2011-04-19	GenBank		2011-04-19	West Nile virus	11082																										WNV-1/Mus/BID-V4974/serum					0	1	0	0	23	0	0	
PP_00009WY.3	PP_00009WY	3	JF899530.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9622813											PP_00009WY.3																								Mus musculus			10090		JF899530	JF899530.1	1	True	10613	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V4923/spleen					0	0	0	0	23	0	0	
PP_00009XW.3	PP_00009XW	3	JF899531.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9630973											PP_00009XW.3																								Mus musculus			10090		JF899531	JF899531.1	1	True	10623	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V4979/serum					0	0	0	1	22	0	0	
PP_00009YU.3	PP_00009YU	3	JF899532.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9630973											PP_00009YU.3																								Mus musculus			10090		JF899532	JF899532.1	1	True	10622	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V4992/brain					0	0	0	0	22	0	0	
PP_0000A0Q.3	PP_0000A0Q	3	JF899533.1	false	insdc_ingest_user	Automated Ingest from INSDC/NCBI Virus by Loculus	1	1730221763	2024-10-29	1730221832	2024-10-29	OPEN		https://pathoplexus.org/about/terms-of-use/open-data	LATEST_VERSION						Broad Institute of MIT and Harvard	Henn, M. R.; Newman, R. M.; Brien, J.; Levin, J.; Malboeuf, C.; Casali, M.; Russ, C.; Lennon, N.; Erlich, R.; Anderson, S.; Rizzolo, K.; Green, L.; Ryan, E.; Yu, Q.; Young, S.; Berlin, A.; Heiman, D.; Sykes, S.; Koehrsen, M.; Borenstein, D.; Engels, R.; Freedman, E.; Gellesch, M.; Heilman, E.; Howarth, C.; Jen, D.; Larson, L.; Neiman, D.; Park, D.; Pearson, M.; Roberts, A.; Sisk, P.; Stolte, C.; White, J.; Alvarado, L.; Godfrey, P.; Shenoy, N.; Yandava, C.; Zeng, Q.; Brien, J. D.; Diamond, M. S.; Nusbaum, C.; Birren, B.	PRJNA31237							0.9630973											PP_0000A0Q.3																								Mus musculus			10090		JF899533	JF899533.1	1	True	10631	1A	2011-05-17	GenBank		2011-05-17	West Nile virus	11082																										WNV-1/Mus/BID-V4996/brain					0	0	0	9	23	0	0	
